event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.ab_tooltips_enabled,event_properties.type,event_properties.id
stories_view,1710716453929000,85f0f52e-e8c0-4cf0-82b9-aa009113f25f,85f0f52e-e8c0-4cf0-82b9-aa009113f25f_1710716447370,/,False,daily_tip,71
stories_view,1710716458928000,85f0f52e-e8c0-4cf0-82b9-aa009113f25f,85f0f52e-e8c0-4cf0-82b9-aa009113f25f_1710716447370,/,False,fact,13
stories_view,1710716461078000,85f0f52e-e8c0-4cf0-82b9-aa009113f25f,85f0f52e-e8c0-4cf0-82b9-aa009113f25f_1710716447370,/,False,question,43
stories_view,1710899673166000,46a1764a-85f2-4b3e-99c5-dbf622a66152,46a1764a-85f2-4b3e-99c5-dbf622a66152_1710899668189,/,False,affirmation,538
stories_view,1710899677386000,46a1764a-85f2-4b3e-99c5-dbf622a66152,46a1764a-85f2-4b3e-99c5-dbf622a66152_1710899668189,/,False,daily_tip,94
stories_view,1710899694776000,46a1764a-85f2-4b3e-99c5-dbf622a66152,46a1764a-85f2-4b3e-99c5-dbf622a66152_1710899668189,/,False,fact,27
stories_view,1710899702314000,46a1764a-85f2-4b3e-99c5-dbf622a66152,46a1764a-85f2-4b3e-99c5-dbf622a66152_1710899668189,/,False,question,68
stories_view,1710868704406000,9f2c0985-53d9-40c7-bfcf-a04c170738d3,9f2c0985-53d9-40c7-bfcf-a04c170738d3_1710868700133,/,False,daily_tip,93
stories_view,1710868712737000,9f2c0985-53d9-40c7-bfcf-a04c170738d3,9f2c0985-53d9-40c7-bfcf-a04c170738d3_1710868700133,/,False,fact,142
stories_view,1710868716306000,9f2c0985-53d9-40c7-bfcf-a04c170738d3,9f2c0985-53d9-40c7-bfcf-a04c170738d3_1710868700133,/,False,question,317
stories_view,1710843686670000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710843675169,/,False,affirmation,361
stories_view,1710843688263000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710843675169,/,False,daily_tip,58
stories_view,1710843693218000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710843675169,/,False,fact,97
stories_view,1710843693412000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710843675169,/,False,question,137
stories_view,1710897998072000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710897986512,/,False,affirmation,543
stories_view,1710898000171000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710897986512,/,False,daily_tip,58
stories_view,1710898002289000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710897986512,/,False,affirmation,543
stories_view,1710898002940000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710897986512,/,False,daily_tip,58
stories_view,1710898003653000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710897986512,/,False,fact,97
stories_view,1710898005133000,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c,fb09ea80-bf43-4748-b8a4-d5fcfa9d486c_1710897986512,/,False,question,130
stories_view,1710897765533000,c3af6863-35ba-44d6-a410-e3970853eaf6,c3af6863-35ba-44d6-a410-e3970853eaf6_1710897761021,/,False,affirmation,367
stories_view,1710897770372000,c3af6863-35ba-44d6-a410-e3970853eaf6,c3af6863-35ba-44d6-a410-e3970853eaf6_1710897761021,/,False,daily_tip,89
stories_view,1710897778915000,c3af6863-35ba-44d6-a410-e3970853eaf6,c3af6863-35ba-44d6-a410-e3970853eaf6_1710897761021,/,False,fact,120
