event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.ab_tooltips_enabled
library_open,1710890234519000,c9f3b2d3-4580-4cad-a68a-6f6c5225791d,c9f3b2d3-4580-4cad-a68a-6f6c5225791d_1710889970171,/,auto_renew_off,yearly_t_2,False
library_open,1710894275798000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,False
library_open,1710895125635000,769fdfbe-e074-4596-bdd5-463dfaa155b3,769fdfbe-e074-4596-bdd5-463dfaa155b3_1710895117712,/,auto_renew_off,yearly_t_2,False
library_open,1710892925358000,4bc6e579-cbcf-4eeb-9acf-871de6a9589f,4bc6e579-cbcf-4eeb-9acf-871de6a9589f_1710892813626,/,subscribed,yearly_t_2,False
library_open,1710895915226000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,False
library_open,1710899504457000,9f2c0985-53d9-40c7-bfcf-a04c170738d3,9f2c0985-53d9-40c7-bfcf-a04c170738d3_1710899497779,/,subscribed,yearly_t_2,False
library_open,1710931342839000,daef8c28-7eca-459e-a4e8-30824742d67d,daef8c28-7eca-459e-a4e8-30824742d67d_1710931338827,/,subscribed,yearly_t_2,False
library_open,1710931711976000,8d92589e-610e-4e80-a017-6a8d74f4d7e9,8d92589e-610e-4e80-a017-6a8d74f4d7e9_1710931705184,/,subscribed,yearly_t_2,False
library_open,1710931156457000,5ebdbc5d-829f-439f-a6b4-6a6d2fe43e61,5ebdbc5d-829f-439f-a6b4-6a6d2fe43e61_1710931152389,/,subscribed,yearly_t_2,False
library_open,1710939309059000,4f6456bd-8a51-4539-b166-b6faba46539b,4f6456bd-8a51-4539-b166-b6faba46539b_1710939304812,/,subscribed,yearly_t_2,False
library_open,1710938620678000,d4f3a9fe-5309-41f5-b855-1d8a8102419c,d4f3a9fe-5309-41f5-b855-1d8a8102419c_1710938491936,/,subscribed,6month_1_1999,False
