event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,event_properties.type
transits_tab_switch,1710895792291000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895795786000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895865269000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895879919000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895881352000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895910763000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895911967000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895912620000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895936000000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895955849000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895962076000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895972283000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895974242000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895975114000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,subscribed,Yearly_30_b_var3,True,False,transits
transits_tab_switch,1710895646030000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,False,False,planets
transits_tab_switch,1710895700640000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,subscribed,weekly_1299_intro_promo_discount,False,False,transits
transits_tab_switch,1710929066194000,1d6e4178-4f58-465f-9122-452f6dc88c9b,1d6e4178-4f58-465f-9122-452f6dc88c9b_1710928991884,/,subscribed,yearly_t_2,False,False,planets
transits_tab_switch,1710929072791000,1d6e4178-4f58-465f-9122-452f6dc88c9b,1d6e4178-4f58-465f-9122-452f6dc88c9b_1710928991884,/,subscribed,yearly_t_2,False,False,transits
