event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.ab_tooltips_enabled,event_properties.id,event_properties.title
article_likeID,1710644207320000,66d90dd4-4614-4e8e-b4ff-ab9f6a6eae10,66d90dd4-4614-4e8e-b4ff-ab9f6a6eae10_1710643135431,/,subscribed,yearly_t_2,False,395,What activities are suitable for children generators?
article_likeID,1710963726742000,d429f7aa-1bdf-4318-a70c-8a6850394f7c,d429f7aa-1bdf-4318-a70c-8a6850394f7c_1710963236740,/,subscribed,yearly_t_2,False,383,What job is suitable for a MG?
article_likeID,1710963824814000,d429f7aa-1bdf-4318-a70c-8a6850394f7c,d429f7aa-1bdf-4318-a70c-8a6850394f7c_1710963236740,/,subscribed,yearly_t_2,False,375,MG and business
article_likeID,1710903024589000,463ec119-4f78-49ae-ab08-d929a1789e92,463ec119-4f78-49ae-ab08-d929a1789e92_1710902944093,/,subscribed,weekly_3,False,217,What Are the Benefits of Being a Generator?
article_likeID,1710969616257000,928668f1-1810-430d-9f4a-774d90b03208,928668f1-1810-430d-9f4a-774d90b03208_1710969329574,/,subscribed,6month_1_1999,False,280,The Compatibility of Gates and Channels in a Couple
article_likeID,1710975702242000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,False,316,Step 1: What is the Human Design System and how does it work?
article_likeID,1710975836755000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,False,317,Step 2: What is a personality type?
article_likeID,1710975953228000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,False,318,Step 3: Decision-making strategy
article_likeID,1710975990027000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,False,319,Step 4: How to read a bodygraph
article_likeID,1710976030724000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,False,320,"Step 5: Moving on to aura, profile and not-self"
article_likeID,1710976300573000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,False,266,Business Skills in Human Design
article_likeID,1710976462086000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,False,236,Indicators of Laziness in the Bodygraph
article_likeID,1710976589358000,db2e9515-1e72-4c80-ba86-8ba946438e2f,db2e9515-1e72-4c80-ba86-8ba946438e2f_1710973550537,/,subscribed,yearly_t_2,False,225,Composite: Who You Are Most Comfortable With
article_likeID,1710916594308000,2dc59de3-c0b0-4636-8ba0-61c4c2cdbb2f,2dc59de3-c0b0-4636-8ba0-61c4c2cdbb2f_1710914562230,/,subscribed,yearly_t_2,False,183,Life on the Volcano: Manifestor and Generator Together
article_likeID,1710918449854000,be1440dd-c010-4c25-97e9-1434d0030f4c,be1440dd-c010-4c25-97e9-1434d0030f4c_1710917786330,/,subscribed,yearly_t_2,False,398,The Wisdom of the Projector
article_likeID,1710918997460000,be1440dd-c010-4c25-97e9-1434d0030f4c,be1440dd-c010-4c25-97e9-1434d0030f4c_1710917786330,/,subscribed,yearly_t_2,False,218,Projector Types: Not So Straightforward
article_likeID,1710924061323000,2dc59de3-c0b0-4636-8ba0-61c4c2cdbb2f,2dc59de3-c0b0-4636-8ba0-61c4c2cdbb2f_1710923311844,/,subscribed,yearly_t_2,False,277,Why are Manifestors a Big Deal
