event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled
transits_open,1710892835827000,c9f3b2d3-4580-4cad-a68a-6f6c5225791d,c9f3b2d3-4580-4cad-a68a-6f6c5225791d_1710892821137,/,False,False
transits_open,1710895783779000,5c162d2c-14b1-4c18-b5e9-563eb3361d9c,5c162d2c-14b1-4c18-b5e9-563eb3361d9c_1710895765179,/,True,False
transits_open,1710893861508000,30a0bbe6-7725-4a65-9b90-e85fbd906420,30a0bbe6-7725-4a65-9b90-e85fbd906420_1710893852537,/,True,False
transits_open,1710893612760000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,True,False
transits_open,1710894816899000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,True,False
transits_open,1710894762041000,1f8654b9-8e75-4723-bd54-242492c3ef62,1f8654b9-8e75-4723-bd54-242492c3ef62_1710894756356,/,False,False
transits_open,1710894783052000,d0332af0-3800-4d1f-a485-d27d11babe86,d0332af0-3800-4d1f-a485-d27d11babe86_1710894775593,/,False,False
transits_open,1710850128629000,1647ca27-ac8b-4f8a-bdd5-06efd51ad449,1647ca27-ac8b-4f8a-bdd5-06efd51ad449_1710850125907,/,False,False
transits_open,1710893936066000,0d1a5ed2-a2f2-474d-8149-c81591ee271e,0d1a5ed2-a2f2-474d-8149-c81591ee271e_1710893901774,/,False,False
transits_open,1710893710462000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710893693592,/,False,False
transits_open,1710895635793000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,False,False
transits_open,1710896271900000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710895583684,/,False,False
transits_open,1710899910753000,e0baec6e-754a-4736-9ac5-4258bd5fc704,e0baec6e-754a-4736-9ac5-4258bd5fc704_1710899900048,/,False,False
transits_open,1710897417497000,9353fc75-f6e0-4a0f-b937-d2b5bb15147c,9353fc75-f6e0-4a0f-b937-d2b5bb15147c_1710897400523,/,False,False
transits_open,1710896984321000,11ac701a-75ac-4d48-b7b7-452d0e8ce0e9,11ac701a-75ac-4d48-b7b7-452d0e8ce0e9_1710896981628,/,False,False
transits_open,1710897996896000,71e72f3d-ca37-4a6d-aba8-35c9c970411c,71e72f3d-ca37-4a6d-aba8-35c9c970411c_1710897986770,/,False,False
transits_open,1710898971875000,887668bb-2277-434d-ab11-f088b6af39e7,887668bb-2277-434d-ab11-f088b6af39e7_1710898962800,/,False,False
transits_open,1710899312078000,7d098ea4-1aa6-44c1-a24e-6436caa2c578,7d098ea4-1aa6-44c1-a24e-6436caa2c578_1710899311205,/,False,False
transits_open,1710930293117000,5ebdbc5d-829f-439f-a6b4-6a6d2fe43e61,5ebdbc5d-829f-439f-a6b4-6a6d2fe43e61_1710930240085,/,False,False
transits_open,1710931175631000,5ebdbc5d-829f-439f-a6b4-6a6d2fe43e61,5ebdbc5d-829f-439f-a6b4-6a6d2fe43e61_1710931152389,/,False,False
transits_open,1710929281144000,2041f020-2e3e-440f-af4e-e52f1334580a,2041f020-2e3e-440f-af4e-e52f1334580a_1710929276664,/,True,False
transits_open,1710928935440000,54bc6a57-f407-4895-9a42-79aa628e44c4,54bc6a57-f407-4895-9a42-79aa628e44c4_1710928858099,/,False,False
transits_open,1710929000522000,1d6e4178-4f58-465f-9122-452f6dc88c9b,1d6e4178-4f58-465f-9122-452f6dc88c9b_1710928991884,/,False,False
