event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.app_language,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,event_properties.tab,event_properties.type
compatibility_tab_open,1710893483701000,78546929-5d64-4baf-be19-e2c6bf1b9315,78546929-5d64-4baf-be19-e2c6bf1b9315_1710893469679,/,subscribed,2022_var0_month,en,False,False,partner,love_and_friendship
compatibility_tab_open,1710893632021000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,partner,family_relations
compatibility_tab_open,1710893988774000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,compatibility,family_relations
compatibility_tab_open,1710894083129000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,partner,family_relations
compatibility_tab_open,1710894100767000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,channels,family_relations
compatibility_tab_open,1710894170905000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,partner,family_relations
compatibility_tab_open,1710894259903000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,compatibility,family_relations
compatibility_tab_open,1710894268495000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,channels,family_relations
compatibility_tab_open,1710894284944000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,partner,family_relations
compatibility_tab_open,1710894341008000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,compatibility,family_relations
compatibility_tab_open,1710894345639000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,channels,family_relations
compatibility_tab_open,1710894347104000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,partner,family_relations
compatibility_tab_open,1710894534226000,c9c609e6-a10d-4dd3-99a3-cc94f756948d,c9c609e6-a10d-4dd3-99a3-cc94f756948d_1710893570610,/,subscribed,yearly_v4_introdiscount,en,True,False,partner,love_and_friendship
