event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.app_language,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,event_properties.city,event_properties.lang
onb_place_placenotfound,1710899356086000,1dfc6c10-9903-41ce-8306-73a2879b1651,1dfc6c10-9903-41ce-8306-73a2879b1651_1710899298329,/,en,True,False,Port st licie,en
onb_place_placenotfound,1710899358655000,1dfc6c10-9903-41ce-8306-73a2879b1651,1dfc6c10-9903-41ce-8306-73a2879b1651_1710899298329,/,en,True,False,Port st licie,en
onb_place_placenotfound,1710899498388000,28802c69-ad26-4184-acda-239f1349835d,28802c69-ad26-4184-acda-239f1349835d_1710899443108,/,en,False,False,Stracuse,en
onb_place_placenotfound,1710934718241000,1527105e-e51c-49fa-872e-5bca784bf02c,1527105e-e51c-49fa-872e-5bca784bf02c_1710934685459,/,en,False,False,Connetic,en
onb_place_placenotfound,1710934725408000,1527105e-e51c-49fa-872e-5bca784bf02c,1527105e-e51c-49fa-872e-5bca784bf02c_1710934685459,/,en,False,False,Conneticu,en
onb_place_placenotfound,1710934727454000,1527105e-e51c-49fa-872e-5bca784bf02c,1527105e-e51c-49fa-872e-5bca784bf02c_1710934685459,/,en,False,False,Connecticut,en
onb_place_placenotfound,1710933208213000,a6fa30ba-57ca-49f6-9881-52b578b429bb,a6fa30ba-57ca-49f6-9881-52b578b429bb_1710933144806,/,en,False,False,Malaysia,en
onb_place_placenotfound,1710933215890000,a6fa30ba-57ca-49f6-9881-52b578b429bb,a6fa30ba-57ca-49f6-9881-52b578b429bb_1710933144806,/,en,False,False,Perak,en
onb_place_placenotfound,1710934570066000,1ce593c6-706a-444e-91e5-0da090e74df9,1ce593c6-706a-444e-91e5-0da090e74df9_1710934316471,/,en,False,False,Kocasinan,en
onb_place_placenotfound,1710934927110000,a50b014a-fc50-4e03-b381-4485d6139735,a50b014a-fc50-4e03-b381-4485d6139735_1710934854687,/,en,False,False,Eotherham,en
onb_place_placenotfound,1710940926345000,1937fb7e-ee0c-47da-a453-88033334f288,1937fb7e-ee0c-47da-a453-88033334f288_1710940759574,/,en,False,False,Dallas texas,en
onb_place_placenotfound,1710940927298000,1937fb7e-ee0c-47da-a453-88033334f288,1937fb7e-ee0c-47da-a453-88033334f288_1710940759574,/,en,False,False,Dallas Texas,en
onb_place_placenotfound,1710941501671000,0237bc6a-6200-4bcd-99a7-2f706f258e2d,0237bc6a-6200-4bcd-99a7-2f706f258e2d_1710941338299,/,en,False,False,Hackney,en
onb_place_placenotfound,1710941506278000,0237bc6a-6200-4bcd-99a7-2f706f258e2d,0237bc6a-6200-4bcd-99a7-2f706f258e2d_1710941338299,/,en,False,False,Hackney,en
onb_place_placenotfound,1710941779887000,46efba3b-0644-4b7b-b79c-927eccd17ef1,46efba3b-0644-4b7b-b79c-927eccd17ef1_1710941698396,/,en,False,False,Gainsville,en
onb_place_placenotfound,1710941782293000,46efba3b-0644-4b7b-b79c-927eccd17ef1,46efba3b-0644-4b7b-b79c-927eccd17ef1_1710941698396,/,en,False,False,Gainsville Florida,en
onb_place_placenotfound,1710941786074000,46efba3b-0644-4b7b-b79c-927eccd17ef1,46efba3b-0644-4b7b-b79c-927eccd17ef1_1710941698396,/,en,False,False,Gainsvill,en
onb_place_placenotfound,1710941787179000,46efba3b-0644-4b7b-b79c-927eccd17ef1,46efba3b-0644-4b7b-b79c-927eccd17ef1_1710941698396,/,en,False,False,Gainsville,en
onb_place_placenotfound,1710941796414000,46efba3b-0644-4b7b-b79c-927eccd17ef1,46efba3b-0644-4b7b-b79c-927eccd17ef1_1710941698396,/,en,False,False,Gainsville,en
onb_place_placenotfound,1710941849202000,46efba3b-0644-4b7b-b79c-927eccd17ef1,46efba3b-0644-4b7b-b79c-927eccd17ef1_1710941698396,/,en,False,False,Gainsville,en
onb_place_placenotfound,1710947011033000,f353cbc4-f5b7-4497-8018-8a7c30a350bc,f353cbc4-f5b7-4497-8018-8a7c30a350bc_1710946935644,/,en,False,False,Bangor maine,en
onb_place_placenotfound,1710947012083000,f353cbc4-f5b7-4497-8018-8a7c30a350bc,f353cbc4-f5b7-4497-8018-8a7c30a350bc_1710946935644,/,en,False,False,Bangor Maine,en
onb_place_placenotfound,1710952267383000,19283dae-93d8-4e00-8ff8-b13033fb6e9b,19283dae-93d8-4e00-8ff8-b13033fb6e9b_1710952135087,/,en,False,False,"Charlotte, North Carolina",en
onb_place_placenotfound,1710955441943000,17aa38d2-724a-434f-8000-b86ebd4a7fe1,17aa38d2-724a-434f-8000-b86ebd4a7fe1_1710955335512,/,ru,False,False,Кустанай,ru
onb_place_placenotfound,1710955450302000,17aa38d2-724a-434f-8000-b86ebd4a7fe1,17aa38d2-724a-434f-8000-b86ebd4a7fe1_1710955335512,/,ru,False,False,Казахстан,ru
onb_place_placenotfound,1710955452618000,17aa38d2-724a-434f-8000-b86ebd4a7fe1,17aa38d2-724a-434f-8000-b86ebd4a7fe1_1710955335512,/,ru,False,False,"Казахстан,",ru
onb_place_placenotfound,1710955455286000,17aa38d2-724a-434f-8000-b86ebd4a7fe1,17aa38d2-724a-434f-8000-b86ebd4a7fe1_1710955335512,/,ru,False,False,Казах,ru
onb_place_placenotfound,1710957377920000,613a4ec3-2747-40a7-a67d-dd6f11fde728,613a4ec3-2747-40a7-a67d-dd6f11fde728_1710957294121,/,en,False,False,New Jersey,en
onb_place_placenotfound,1710957383245000,613a4ec3-2747-40a7-a67d-dd6f11fde728,613a4ec3-2747-40a7-a67d-dd6f11fde728_1710957294121,/,en,False,False,New Jersey city,en
onb_place_placenotfound,1710957392152000,613a4ec3-2747-40a7-a67d-dd6f11fde728,613a4ec3-2747-40a7-a67d-dd6f11fde728_1710957294121,/,en,False,False,New Jersey,en
onb_place_placenotfound,1710957396961000,613a4ec3-2747-40a7-a67d-dd6f11fde728,613a4ec3-2747-40a7-a67d-dd6f11fde728_1710957294121,/,en,False,False,New Jersey Hudson,en
onb_place_placenotfound,1710957406073000,613a4ec3-2747-40a7-a67d-dd6f11fde728,613a4ec3-2747-40a7-a67d-dd6f11fde728_1710957294121,/,en,False,False,New Jersey,en
onb_place_placenotfound,1710957438942000,613a4ec3-2747-40a7-a67d-dd6f11fde728,613a4ec3-2747-40a7-a67d-dd6f11fde728_1710957294121,/,en,False,False,Medical new,en
onb_place_placenotfound,1710957443345000,613a4ec3-2747-40a7-a67d-dd6f11fde728,613a4ec3-2747-40a7-a67d-dd6f11fde728_1710957294121,/,en,False,False,Medical new hersey,en
