event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.ab_tooltips_enabled
review_ignore,1710893475004000,78546929-5d64-4baf-be19-e2c6bf1b9315,78546929-5d64-4baf-be19-e2c6bf1b9315_1710893469679,/,subscribed,2022_var0_month,False
review_ignore,1710892944559000,ca0a6b12-6fdc-4929-96f6-682e83fd2869,ca0a6b12-6fdc-4929-96f6-682e83fd2869_1710892938285,/,subscribed,yearly_t_2,False
review_ignore,1710895969168000,0fcaa460-4743-4f3a-974b-90daf63794cf,0fcaa460-4743-4f3a-974b-90daf63794cf_1710895965401,/,subscribed,yearly_t_2,False
review_ignore,1710931153387000,803d11e9-b597-456c-b01c-3d13fed051bd,803d11e9-b597-456c-b01c-3d13fed051bd_1710931129609,/,subscribed,yearly_t_2,False
review_ignore,1710939309077000,4f6456bd-8a51-4539-b166-b6faba46539b,4f6456bd-8a51-4539-b166-b6faba46539b_1710939304812,/,subscribed,yearly_t_2,False
review_ignore,1710936759011000,32693f54-f62e-44a9-94c1-6babcf9f6eb9,32693f54-f62e-44a9-94c1-6babcf9f6eb9_1710936665383,/,subscribed,yearly_t_2,False
review_ignore,1710939437266000,3645501b-b02d-4f6a-971b-e9fa90664964,3645501b-b02d-4f6a-971b-e9fa90664964_1710939431405,/,subscribed,6month_1_1999,False
review_ignore,1710940392201000,351d83b6-da82-4fea-91b1-adf1bf913f65,351d83b6-da82-4fea-91b1-adf1bf913f65_1710940311556,/,subscribed,yearly_t_2,False
review_ignore,1710940760594000,c9a30543-3e74-4ac6-8a3e-52963cf1e736,c9a30543-3e74-4ac6-8a3e-52963cf1e736_1710940746405,/,subscribed,weekly_3,False
review_ignore,1710939724251000,1e3dc72c-060d-4d42-b164-86b9fc9cd09c,1e3dc72c-060d-4d42-b164-86b9fc9cd09c_1710939657879,/,subscribed,yearly_t_2,False
review_ignore,1710944739537000,049934fd-6478-4aa1-9262-7c1704dfab4f,049934fd-6478-4aa1-9262-7c1704dfab4f_1710944735712,/,subscribed,yearly_t_2,False
review_ignore,1710945383047000,3d7ea2a6-0baa-49b7-b1f1-4f44d5531fc5,3d7ea2a6-0baa-49b7-b1f1-4f44d5531fc5_1710945118201,/,subscribed,yearly_t_2,False
review_ignore,1710946892031000,7ea7bfe8-7d6a-4e08-88a9-aa38a44d0780,7ea7bfe8-7d6a-4e08-88a9-aa38a44d0780_1710946828845,/,subscribed,yearly_t_2,False
review_ignore,1710952731966000,455c6cad-2d76-492f-b055-aca499189b80,455c6cad-2d76-492f-b055-aca499189b80_1710952710580,/,subscribed,yearly_t_2,False
review_ignore,1710953317889000,079bcc5d-cc69-4b33-bf63-2bc0ed02a9cc,079bcc5d-cc69-4b33-bf63-2bc0ed02a9cc_1710953246249,/,subscribed,yearly_t_2,False
