event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.ab_tooltips_enabled,event_properties.url
sharing_screenshot,1710896759908000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710896707788,/,False,/home/tabs/library/tags/38/article/325
sharing_screenshot,1710896768188000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710896707788,/,False,/home/tabs/library/tags/38/article/325
sharing_screenshot,1710896786043000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710896707788,/,False,/home/tabs/library/tags/38/article/325
sharing_screenshot,1710897578600000,7e6cd814-5f9c-42ea-8343-f75461368b10,7e6cd814-5f9c-42ea-8343-f75461368b10_1710897517833,/,False,/home/tabs/compatibility/33773
sharing_screenshot,1710897704985000,7e6cd814-5f9c-42ea-8343-f75461368b10,7e6cd814-5f9c-42ea-8343-f75461368b10_1710897517833,/,False,/home/tabs/compatibility/33773
sharing_screenshot,1710929027416000,bd88cd5d-17e7-4e66-9645-7cffcdbcce7e,bd88cd5d-17e7-4e66-9645-7cffcdbcce7e_1710929012075,/,False,/home/tabs/main?open_story=daily_tip
sharing_screenshot,1710930847725000,654be444-6cbc-4d58-b227-225b27db2996,654be444-6cbc-4d58-b227-225b27db2996_1710930166310,/,False,/home/tabs/main
sharing_screenshot,1710931953098000,654be444-6cbc-4d58-b227-225b27db2996,654be444-6cbc-4d58-b227-225b27db2996_1710931924333,/,False,/home/tabs/main
sharing_screenshot,1710929042413000,1d6e4178-4f58-465f-9122-452f6dc88c9b,1d6e4178-4f58-465f-9122-452f6dc88c9b_1710928991884,/,False,/home/tabs/main
sharing_screenshot,1710930378166000,073847e0-1996-43e2-b81b-eea964a81326,073847e0-1996-43e2-b81b-eea964a81326_1710929984781,/,False,/onboarding/finish/summary-new
sharing_screenshot,1710930387181000,073847e0-1996-43e2-b81b-eea964a81326,073847e0-1996-43e2-b81b-eea964a81326_1710929984781,/,False,/onboarding/finish/summary-new
sharing_screenshot,1710930395041000,073847e0-1996-43e2-b81b-eea964a81326,073847e0-1996-43e2-b81b-eea964a81326_1710929984781,/,False,/onboarding/finish/summary-new
sharing_screenshot,1710932613549000,e80c0d1a-7a1a-4390-86b8-c9389a62ffbc,e80c0d1a-7a1a-4390-86b8-c9389a62ffbc_1710932584908,/,False,/home/tabs/main
sharing_screenshot,1710932616751000,e80c0d1a-7a1a-4390-86b8-c9389a62ffbc,e80c0d1a-7a1a-4390-86b8-c9389a62ffbc_1710932584908,/,False,/home/tabs/main
sharing_screenshot,1710932624105000,e80c0d1a-7a1a-4390-86b8-c9389a62ffbc,e80c0d1a-7a1a-4390-86b8-c9389a62ffbc_1710932584908,/,False,/home/tabs/main
sharing_screenshot,1710932956184000,654be444-6cbc-4d58-b227-225b27db2996,654be444-6cbc-4d58-b227-225b27db2996_1710932730655,/,False,/home/tabs/main/transits
sharing_screenshot,1710933294134000,654be444-6cbc-4d58-b227-225b27db2996,654be444-6cbc-4d58-b227-225b27db2996_1710932730655,/,False,/home/tabs/main/transits
sharing_screenshot,1710933974757000,68496974-2a50-44a4-b450-1164309e8fee,68496974-2a50-44a4-b450-1164309e8fee_1710933845851,/,False,/onboarding/finish/summary-new
sharing_screenshot,1710936081058000,6b6eaed1-383e-4fa8-a14e-8ef9f7cb43b6,6b6eaed1-383e-4fa8-a14e-8ef9f7cb43b6_1710936065744,/,False,/home/tabs/main
sharing_screenshot,1710936710619000,32693f54-f62e-44a9-94c1-6babcf9f6eb9,32693f54-f62e-44a9-94c1-6babcf9f6eb9_1710936665383,/,False,/home/tabs/main
sharing_screenshot,1710937519815000,66ca8776-b60f-4a69-a636-28f0d7acbb6a,66ca8776-b60f-4a69-a636-28f0d7acbb6a_1710936955191,/,False,/home/tabs/compatibility/33816?from_create=true
sharing_screenshot,1710937615703000,66ca8776-b60f-4a69-a636-28f0d7acbb6a,66ca8776-b60f-4a69-a636-28f0d7acbb6a_1710936955191,/,False,/home/tabs/compatibility/33816?from_create=true
sharing_screenshot,1710937651161000,66ca8776-b60f-4a69-a636-28f0d7acbb6a,66ca8776-b60f-4a69-a636-28f0d7acbb6a_1710936955191,/,False,/home/tabs/compatibility/33816?from_create=true
sharing_screenshot,1710937684829000,66ca8776-b60f-4a69-a636-28f0d7acbb6a,66ca8776-b60f-4a69-a636-28f0d7acbb6a_1710936955191,/,False,/home/tabs/compatibility/33816?from_create=true
