event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.ab_tooltips_enabled,event_properties.titles
onb_goal_selection,1710940870273000,1937fb7e-ee0c-47da-a453-88033334f288,1937fb7e-ee0c-47da-a453-88033334f288_1710940759574,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710941075187000,7e6c1c1f-f048-4fab-a0e9-789a80a3875f,7e6c1c1f-f048-4fab-a0e9-789a80a3875f_1710941062507,/,False,['Get to know yourself better']
onb_goal_selection,1710941222486000,9748a2ab-df53-4f97-90fd-171da3f5484f,9748a2ab-df53-4f97-90fd-171da3f5484f_1710941189711,/,False,"['Get to know yourself better', 'Improve your quality of life', 'Find your calling', 'Learn to love Yourself']"
onb_goal_selection,1710941356924000,0237bc6a-6200-4bcd-99a7-2f706f258e2d,0237bc6a-6200-4bcd-99a7-2f706f258e2d_1710941338299,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life']"
onb_goal_selection,1710941480062000,fd8871a1-ca0b-481d-a257-fa46d36291a9,fd8871a1-ca0b-481d-a257-fa46d36291a9_1710941441159,/,False,['Get to know yourself better']
onb_goal_selection,1710941731358000,46efba3b-0644-4b7b-b79c-927eccd17ef1,46efba3b-0644-4b7b-b79c-927eccd17ef1_1710941698396,/,False,['Improve your quality of life']
onb_goal_selection,1710942128656000,c98329a1-7992-4017-acea-ec7e35ecab38,c98329a1-7992-4017-acea-ec7e35ecab38_1710942092685,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710942440045000,db018c39-a47f-4a97-b026-6fedf3874db3,db018c39-a47f-4a97-b026-6fedf3874db3_1710942423709,/,False,"['Conócete mejor a ti mismo', 'Abraza tus emociones', 'Mejora tu calidad de vida', 'Encuentra tu llamado', 'Suavizar tus relaciones con seres queridos', 'Aprende a amarte a ti mismo']"
onb_goal_selection,1710942685595000,f3f75a05-e7d7-4dee-844c-fdba6e4f4db5,f3f75a05-e7d7-4dee-844c-fdba6e4f4db5_1710942669644,/,False,"['Get to know yourself better', 'Smooth out your relationships with loved ones']"
onb_goal_selection,1710942830634000,68d9c205-d33d-4b68-98ae-d2e99220f7ee,68d9c205-d33d-4b68-98ae-d2e99220f7ee_1710942809851,/,False,['Learn to love Yourself']
onb_goal_selection,1710944252637000,ebb2d49b-6956-4130-900e-81a15789c31e,ebb2d49b-6956-4130-900e-81a15789c31e_1710944217174,/,False,"['Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones']"
onb_goal_selection,1710945786940000,3079b182-4ab9-4bea-9c17-f13c8be1831b,3079b182-4ab9-4bea-9c17-f13c8be1831b_1710945661806,/,False,['Improve your quality of life']
onb_goal_selection,1710946245469000,ec939761-09ce-4805-9c09-db02bbe87b28,ec939761-09ce-4805-9c09-db02bbe87b28_1710946221440,/,False,['Learn to love Yourself']
onb_goal_selection,1710946990307000,f353cbc4-f5b7-4497-8018-8a7c30a350bc,f353cbc4-f5b7-4497-8018-8a7c30a350bc_1710946935644,/,False,['Learn to love Yourself']
onb_goal_selection,1710947311332000,f305973a-e0f3-461e-8db5-201125d67693,f305973a-e0f3-461e-8db5-201125d67693_1710947285014,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones', 'Learn to love Yourself']"
onb_goal_selection,1710947533039000,1212a472-9626-4bbf-8723-37769ce0269f,1212a472-9626-4bbf-8723-37769ce0269f_1710947492979,/,False,['Get to know yourself better']
onb_goal_selection,1710948091161000,08bdd14e-0cd4-43db-8658-84d40af8d3e0,08bdd14e-0cd4-43db-8658-84d40af8d3e0_1710948063958,/,False,['Improve your quality of life']
onb_goal_selection,1710948519929000,bedae9b3-de8e-446f-a149-1dca49b8ea53,bedae9b3-de8e-446f-a149-1dca49b8ea53_1710948348494,/,False,"['Get to know yourself better', 'Embrace your emotions', 'Improve your quality of life', 'Find your calling', 'Smooth out your relationships with loved ones']"
