event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.subscription_state,user_properties.subscription_product,user_properties.app_language,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,event_properties.source,event_properties.from_screenshot,event_properties.target
sharing_share,1710896775127000,a98684e1-6ff5-452f-bd2b-42c31fc125ca,a98684e1-6ff5-452f-bd2b-42c31fc125ca_1710896707788,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,article,True,instagramStories
sharing_share,1710897710488000,7e6cd814-5f9c-42ea-8343-f75461368b10,7e6cd814-5f9c-42ea-8343-f75461368b10_1710897517833,/,subscribed,yearly_t_2,en,False,False,compatibility,True,native
sharing_share,1710930892488000,d40d893a-4116-4d4b-b654-1bdb6b1fcd24,d40d893a-4116-4d4b-b654-1bdb6b1fcd24_1710930818807,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,stories,False,native
sharing_share,1710932601759000,e80c0d1a-7a1a-4390-86b8-c9389a62ffbc,e80c0d1a-7a1a-4390-86b8-c9389a62ffbc_1710932584908,/,subscribed,yearly_t_2,en,False,False,stories,False,instagramStories
sharing_share,1710934902774000,1ce593c6-706a-444e-91e5-0da090e74df9,1ce593c6-706a-444e-91e5-0da090e74df9_1710934316471,/,subscribed,weekly_1299_intro_promo_discount,en,False,False,compatibility,False,native
sharing_share,1710936112098000,9255136e-5e78-4689-85da-06f5fdd8e0fd,9255136e-5e78-4689-85da-06f5fdd8e0fd_1710935932777,/,subscribed,yearly_t_2,en,False,False,compatibility,False,native
sharing_share,1710936136786000,9255136e-5e78-4689-85da-06f5fdd8e0fd,9255136e-5e78-4689-85da-06f5fdd8e0fd_1710935932777,/,subscribed,yearly_t_2,en,False,False,bodygraph,False,native
sharing_share,1710936166117000,9255136e-5e78-4689-85da-06f5fdd8e0fd,9255136e-5e78-4689-85da-06f5fdd8e0fd_1710935932777,/,subscribed,yearly_t_2,en,False,False,compatibility,False,native
sharing_share,1710939919273000,e758cc20-22aa-464f-8c8d-c5f57392e87f,e758cc20-22aa-464f-8c8d-c5f57392e87f_1710939891620,/,subscribed,Yearly_1_nt_hd,en,False,False,stories,False,instagramStories
sharing_share,1710940243484000,8ea71ada-8d40-48d8-ba87-55d5d544567a,8ea71ada-8d40-48d8-ba87-55d5d544567a_1710940191497,/,subscribed,yearly_t_2,en,False,False,stories,False,native
