event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.app_language,user_properties.feature_new_onboarding,user_properties.ab_tooltips_enabled,event_properties.variationId,event_properties.is_onboarding2,event_properties.placement,event_properties.currency,event_properties.productId,event_properties.price
paywall_purchase_button_click,1710894165878000,d5597eb2-25d4-4424-ae70-5a7deba4b201,d5597eb2-25d4-4424-ae70-5a7deba4b201_1710894047110,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,USD,yearly_t_2,34.99
paywall_purchase_button_click,1710898533454000,3db1b59d-2ff8-43c5-986e-e99dd2ac9dc4,3db1b59d-2ff8-43c5-986e-e99dd2ac9dc4_1710898389183,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,USD,yearly_t_2,34.99
paywall_purchase_button_click,1710899354983000,485f1ffd-084e-4814-a16b-50148a2e63ec,485f1ffd-084e-4814-a16b-50148a2e63ec_1710899189604,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,USD,yearly_t_2,34.99
paywall_purchase_button_click,1710899595675000,8bbc3b6f-347c-4cd4-92f7-134a7569c454,8bbc3b6f-347c-4cd4-92f7-134a7569c454_1710899343094,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,CAD,yearly_t_2,32.99
paywall_purchase_button_click,1710939538594000,a395c4e0-b082-4656-ab48-234e464d0dec,a395c4e0-b082-4656-ab48-234e464d0dec_1710939501166,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,ILS,weekly_3,34.9
paywall_purchase_button_click,1710936586500000,5a8ee028-07a8-47d0-a875-fc08e07f45b9,5a8ee028-07a8-47d0-a875-fc08e07f45b9_1710936446440,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,AUD,yearly_t_2,40.99
paywall_purchase_button_click,1710936593373000,5a8ee028-07a8-47d0-a875-fc08e07f45b9,5a8ee028-07a8-47d0-a875-fc08e07f45b9_1710936446440,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,AUD,weekly_3,14.99
paywall_purchase_button_click,1710937207917000,66ca8776-b60f-4a69-a636-28f0d7acbb6a,66ca8776-b60f-4a69-a636-28f0d7acbb6a_1710936955191,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,HKD,yearly_t_2,198.0
paywall_purchase_button_click,1710939632749000,a395c4e0-b082-4656-ab48-234e464d0dec,a395c4e0-b082-4656-ab48-234e464d0dec_1710939501166,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,ILS,weekly_3,34.9
paywall_purchase_button_click,1710941437137000,0237bc6a-6200-4bcd-99a7-2f706f258e2d,0237bc6a-6200-4bcd-99a7-2f706f258e2d_1710941338299,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,GBP,yearly_t_2,26.49
paywall_purchase_button_click,1710942286199000,c98329a1-7992-4017-acea-ec7e35ecab38,c98329a1-7992-4017-acea-ec7e35ecab38_1710942092685,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,USD,yearly_t_2,34.99
paywall_purchase_button_click,1710942764458000,f3f75a05-e7d7-4dee-844c-fdba6e4f4db5,f3f75a05-e7d7-4dee-844c-fdba6e4f4db5_1710942669644,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,THB,weekly_3,399.0
paywall_purchase_button_click,1710944495785000,ebb2d49b-6956-4130-900e-81a15789c31e,ebb2d49b-6956-4130-900e-81a15789c31e_1710944217174,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,GBP,yearly_t_2,26.49
paywall_purchase_button_click,1710949272495000,bde653f5-11fc-4579-af9a-de6cba808461,bde653f5-11fc-4579-af9a-de6cba808461_1710949148952,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,EUR,yearly_t_2,29.99
paywall_purchase_button_click,1710950014830000,1893bb4a-0e43-4a82-a921-721da958a10b,1893bb4a-0e43-4a82-a921-721da958a10b_1710949846935,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,AED,weekly_3,39.99
paywall_purchase_button_click,1710950599864000,ae301e01-5b1c-45e8-9743-6687a0ba3c5b,ae301e01-5b1c-45e8-9743-6687a0ba3c5b_1710950590113,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,USD,weekly_3,9.99
paywall_purchase_button_click,1710951812296000,9aa31433-baf6-4beb-9fba-d20bb56fbcc0,9aa31433-baf6-4beb-9fba-d20bb56fbcc0_1710951792502,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,USD,yearly_t_2,34.99
paywall_purchase_button_click,1710951831799000,358d98b2-a21b-48d6-b185-e7cb0ac47381,358d98b2-a21b-48d6-b185-e7cb0ac47381_1710951587735,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,RON,6month_1_1999,99.99
paywall_purchase_button_click,1710953876691000,9463ea66-a85a-48d4-b0ee-f5645a24f913,9463ea66-a85a-48d4-b0ee-f5645a24f913_1710953780152,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,EUR,yearly_t_2,29.99
paywall_purchase_button_click,1710954609941000,70facd3e-c6b7-4678-97e8-c449d1c970ce,70facd3e-c6b7-4678-97e8-c449d1c970ce_1710954444106,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,USD,yearly_t_2,34.99
paywall_purchase_button_click,1710956464981000,e3d05cd6-17d0-46b4-a0fb-c2e600ea1596,e3d05cd6-17d0-46b4-a0fb-c2e600ea1596_1710956311715,/,en,False,False,3ee6c874-e2a8-4c2e-a2ae-48ae41c975ba,False,onboarding-default,EUR,weekly_3,9.99
