event_name,event_timestamp,user_pseudo_id,unique_session_id,data.path,user_properties.ab_tooltips_enabled,event_properties.opt_in
onb_notif_status,1710893224853000,823c8607-14df-4729-a8ad-e81656beffed,823c8607-14df-4729-a8ad-e81656beffed_1710892945030,/,False,True
onb_notif_status,1710893801394000,6ff3c4e1-4eb6-48a2-b5e5-399ebec9aa8d,6ff3c4e1-4eb6-48a2-b5e5-399ebec9aa8d_1710893684725,/,False,True
onb_notif_status,1710893966656000,7010124d-4e1c-487c-9c51-f96f8e0d5dfa,7010124d-4e1c-487c-9c51-f96f8e0d5dfa_1710893863712,/,False,True
onb_notif_status,1710894150813000,d5597eb2-25d4-4424-ae70-5a7deba4b201,d5597eb2-25d4-4424-ae70-5a7deba4b201_1710894047110,/,False,True
onb_notif_status,1710894211299000,d0b01eb8-d4b5-4f3d-97cb-f49a0d606e44,d0b01eb8-d4b5-4f3d-97cb-f49a0d606e44_1710894094523,/,False,True
onb_notif_status,1710895028448000,9a874124-8bf1-4070-8cca-68a006a36a37,9a874124-8bf1-4070-8cca-68a006a36a37_1710894794486,/,False,True
onb_notif_status,1710895775907000,b901edde-75f7-4031-b346-dc4ebfb05e55,b901edde-75f7-4031-b346-dc4ebfb05e55_1710895690698,/,False,True
onb_notif_status,1710896759203000,b460aa60-c654-497a-bea9-2274355b31a5,b460aa60-c654-497a-bea9-2274355b31a5_1710896698273,/,False,True
onb_notif_status,1710897574317000,d71a5d5a-dd1a-47c4-9777-5ec0794c27d9,d71a5d5a-dd1a-47c4-9777-5ec0794c27d9_1710897480628,/,False,True
onb_notif_status,1710898330640000,048f1ff0-26ef-4f6c-8603-0e176aba4a2b,048f1ff0-26ef-4f6c-8603-0e176aba4a2b_1710898246855,/,False,False
onb_notif_status,1710898510710000,3db1b59d-2ff8-43c5-986e-e99dd2ac9dc4,3db1b59d-2ff8-43c5-986e-e99dd2ac9dc4_1710898389183,/,False,True
onb_notif_status,1710899332873000,485f1ffd-084e-4814-a16b-50148a2e63ec,485f1ffd-084e-4814-a16b-50148a2e63ec_1710899189604,/,False,False
onb_notif_status,1710899544488000,8bbc3b6f-347c-4cd4-92f7-134a7569c454,8bbc3b6f-347c-4cd4-92f7-134a7569c454_1710899343094,/,False,False
onb_notif_status,1710899566524000,28802c69-ad26-4184-acda-239f1349835d,28802c69-ad26-4184-acda-239f1349835d_1710899443108,/,False,False
onb_notif_status,1710930413996000,073847e0-1996-43e2-b81b-eea964a81326,073847e0-1996-43e2-b81b-eea964a81326_1710929984781,/,False,True
onb_notif_status,1710929345660000,50e6bfbe-b88a-48fc-9fce-9d0edf1c27cb,50e6bfbe-b88a-48fc-9fce-9d0edf1c27cb_1710929150420,/,False,True
